248,10,2
HTTP,SSL,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
192.168.3.131,57245,204.14.234.85,443,TCP,164988.000000,4205,16498.800000,6.000000,42640.000000,420,54,1514,60.610469,25486.702063,SSL,1
192.168.3.131,57246,204.14.234.85,443,TCP,9312145.000000,7567,931214.500000,3.000000,8953188.000000,756,54,1514,1.073866,812.594735,SSL,1
192.168.3.131,57247,204.14.234.85,443,TCP,17323196.000000,7659,1732319.600000,5.000000,16946906.000000,765,54,1514,0.577261,442.123959,SSL,1
192.168.3.131,57248,204.14.234.85,443,TCP,10758695.000000,7643,1075869.500000,3.000000,10378971.000000,764,54,1514,0.929481,710.402144,SSL,1
192.168.3.131,55973,65.54.95.142,80,TCP,54597.000000,940,5459.700000,133.000000,15275.000000,94,54,442,183.160247,17217.063209,HTTP,0
192.168.3.131,56233,65.54.95.68,80,TCP,54883.000000,1229,5488.300000,355.000000,25150.000000,122,54,731,182.205783,22393.090757,HTTP,0
192.168.3.131,58789,209.17.73.30,80,TCP,289929.000000,985,28992.900000,371.000000,69826.000000,98,54,487,34.491203,3397.383497,HTTP,0
192.168.3.131,58790,209.17.73.30,80,TCP,298182.000000,985,29818.200000,1607.000000,74445.000000,98,54,487,33.536565,3303.351644,HTTP,0
192.168.3.131,56497,65.54.95.140,80,TCP,178882.000000,1409,17888.200000,130.000000,96889.000000,140,54,911,55.902774,7876.700842,HTTP,0
192.168.3.131,58547,204.9.163.166,80,TCP,119060072.000000,851,11906007.200000,223.000000,112410068.000000,85,54,353,0.083991,7.147652,HTTP,0
192.168.3.131,56500,65.54.95.140,80,TCP,315995.000000,1410,31599.500000,171.000000,165708.000000,141,54,912,31.646070,4462.095919,HTTP,0
192.168.3.131,56502,65.54.95.140,80,TCP,3914983.000000,3125,391498.300000,123.000000,3287662.000000,312,54,913,2.554290,798.215471,HTTP,0
